"Notes"	"State"	"State Code"	"County"	"County Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Cause of death"	"Cause of death Code"	Deaths
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Septicaemia, unspecified"	"A41.9"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	17
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	23
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Unspecified diabetes mellitus, without complications"	"E14.9"	14
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	35
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Chronic kidney disease, stage 5"	"N18.5"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"COVID-19"	"U07.1"	27
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	33
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	32
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	53
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	139
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	74
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Endometrium - Malignant neoplasms"	"C54.1"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of uterus, part unspecified"	"C55"	19
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary"	"C56"	39
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	20
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	35
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	13
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	29
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified dementia"	"F03"	19
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Alzheimer disease, unspecified"	"G30.9"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Essential (primary) hypertension"	"I10"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	31
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	107
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	18
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Other secondary pulmonary hypertension"	"I27.2"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Cardiac arrest, unspecified"	"I46.9"	16
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Cardiac arrhythmia, unspecified"	"I49.9"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Heart failure, unspecified"	"I50.9"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Intracerebral haemorrhage, unspecified"	"I61.9"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Stroke, not specified as haemorrhage or infarction"	"I64"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pneumonia, unspecified"	"J18.9"	24
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic obstructive pulmonary disease with acute lower respiratory infection"	"J44.0"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	57
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pneumonitis due to food and vomit"	"J69.0"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Respiratory failure, unspecified"	"J96.9"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Vascular disorder of intestine, unspecified"	"K55.9"	13
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Alcoholic cirrhosis of liver"	"K70.3"	18
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Other and unspecified cirrhosis of liver"	"K74.6"	23
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Acute renal failure, unspecified"	"N17.9"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic kidney disease, stage 5"	"N18.5"	13
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Urinary tract infection, site not specified"	"N39.0"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Other ill-defined and unspecified causes of mortality"	"R99"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"COVID-19"	"U07.1"	77
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	28
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	24
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Septicaemia, unspecified"	"A41.9"	16
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	40
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Malignant neoplasm of prostate"	"C61"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Unspecified diabetes mellitus, without complications"	"E14.9"	19
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Acute myocardial infarction, unspecified"	"I21.9"	20
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	81
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	18
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Stroke, not specified as haemorrhage or infarction"	"I64"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Chronic kidney disease, stage 5"	"N18.5"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"COVID-19"	"U07.1"	32
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	36
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	14
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	52
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	46
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	25
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm of rectum"	"C20"	18
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	22
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	49
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	175
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	13
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm of prostate"	"C61"	30
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	15
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	19
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	23
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	42
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	13
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	18
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	11
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	62
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Unspecified dementia"	"F03"	16
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	16
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Motor neuron disease"	"G12.2"	16
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Parkinson disease"	"G20"	12
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Alzheimer disease, unspecified"	"G30.9"	18
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	10
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Essential (primary) hypertension"	"I10"	17
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	17
	"New York"	"36"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	95
